asset,signal,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,net_pnl_pct,exit_reason,enter_confidence,regime,position_size_r,hours_held,fee_pct,funding_pct,btc_entry_1h_rsi,btc_exit_1h_rsi,entry_source,funding_rate_1h,btc_entry_4h_rsi,btc_exit_4h_rsi,fear_greed_entry,fear_greed_exit,market_regime_entry
ADA_USDT,rsi_oversold,long,2026-05-24T07:17:05.005697+00:00,2026-05-24T12:18:15.576962+00:00,0.241737,0.238991,-1.1359,,stop_loss,0.6817,range_bound,0.24,,,,72.17569916258492,69.3054207680576,yfinance,,,,25,25,Extreme Fear
ADA_USDT,rsi_oversold_half,long,2026-05-24T13:44:04.028014+00:00,2026-05-24T14:13:27.440675+00:00,0.240426,0.238,-1.009,,stop_loss,0.5893,range_bound,0.125,,,,56.270705158542334,40.244571177890236,yfinance,,,,25,25,Extreme Fear
ADA_USDT,rsi_oversold,long,2026-05-26T00:00:45.013475+00:00,2026-05-26T00:21:54.277901+00:00,0.245827,0.249296,1.4112,0.5447,scale_out_tp1,0.6287,range_bound,0.4,0.35,0.0201,0.0004,44.221606648199376,40.388604968881474,ccxt_kraken,-2.7e-05,,,34,34,Fear
ADA_USDT,rsi_oversold,long,2026-05-26T00:00:45.013475+00:00,2026-05-26T00:24:06.005197+00:00,0.245827,0.249547,1.5133,0.2928,tp2,0.6287,range_bound,0.2,0.39,0.0101,0.0002,44.221606648199376,39.719347133758134,ccxt_kraken,-2.8e-05,,,34,34,Fear
ADA_USDT,rsi_oversold,long,2026-05-26T00:00:45.013475+00:00,2026-05-26T00:30:41.255522+00:00,0.245827,0.249829,1.628,0.3158,chandelier_exit,0.6287,range_bound,0.2,0.5,0.0101,0.0002,44.221606648199376,40.59607364459368,ccxt_kraken,-2.4e-05,,,34,34,Fear
AVAX_USDT,rsi_oversold,long,2026-05-24T06:15:30.320090+00:00,2026-05-24T06:15:30.320224+00:00,9.45803,9.45803,0.0,,scale_out_tp1,0.7465,range_bound,0.2,,,,73.16088667630947,73.16088667630947,yfinance,,,,25,25,Extreme Fear
AVAX_USDT,rsi_oversold,long,2026-05-24T06:15:30.320090+00:00,2026-05-24T06:26:18.060230+00:00,9.45803,9.48088,0.2416,,chandelier_exit,0.7465,range_bound,0.2,,,,73.16088667630947,72.55320568416832,yfinance,,,,25,25,Extreme Fear
AVAX_USDT,rsi_oversold,long,2026-05-24T10:05:52.671029+00:00,2026-05-24T10:05:52.671130+00:00,9.541134,9.541134,0.0,,scale_out_tp1,0.6094,range_bound,0.12,,,,40.83595762954498,40.83595762954498,yfinance,,,,25,25,Extreme Fear
AVAX_USDT,rsi_oversold,long,2026-05-24T10:05:52.671029+00:00,2026-05-24T10:12:22.079493+00:00,9.541134,9.549625,0.089,,chandelier_exit,0.6094,range_bound,0.12,,,,40.83595762954498,40.915610119901366,yfinance,,,,25,25,Extreme Fear
AVAX_USDT,rsi_oversold,long,2026-05-24T10:51:23.404670+00:00,2026-05-24T10:51:23.404768+00:00,9.560114,9.560114,0.0,,scale_out_tp1,0.7373,range_bound,0.12,,,,46.38684552141954,46.38684552141954,yfinance,,,,25,25,Extreme Fear
AVAX_USDT,rsi_oversold,long,2026-05-24T10:51:23.404670+00:00,2026-05-24T10:54:38.292295+00:00,9.560114,9.541431,-0.1954,,chandelier_exit,0.7373,range_bound,0.12,,,,46.38684552141954,48.061203102075034,yfinance,,,,25,25,Extreme Fear
AVAX_USDT,rsi_oversold,long,2026-05-24T12:10:40.819068+00:00,2026-05-24T12:10:40.819165+00:00,9.588081,9.588081,0.0,,scale_out_tp1,0.7383,range_bound,0.12,,,,74.74022576063349,74.74022576063349,yfinance,,,,25,25,Extreme Fear
AVAX_USDT,rsi_oversold,long,2026-05-24T12:10:40.819068+00:00,2026-05-24T12:13:55.757715+00:00,9.588081,9.5996,0.1201,,chandelier_exit,0.7383,range_bound,0.12,,,,74.74022576063349,70.97827630271182,yfinance,,,,25,25,Extreme Fear
AVAX_USDT,rsi_oversold,long,2026-05-24T13:57:07.261019+00:00,2026-05-24T13:57:07.261112+00:00,9.46993,9.46993,0.0,,scale_out_tp1,0.6507,range_bound,0.12,,,,49.071399092034675,49.071399092034675,yfinance,,,,25,25,Extreme Fear
AVAX_USDT,rsi_oversold,long,2026-05-24T13:57:07.261019+00:00,2026-05-24T14:12:22.448489+00:00,9.46993,9.511365,0.4375,,chandelier_exit,0.6507,range_bound,0.12,,,,49.071399092034675,42.930681485814716,yfinance,,,,25,25,Extreme Fear
AVAX_USDT,rsi_oversold,long,2026-05-25T21:43:19.444826+00:00,2026-05-25T22:28:50.676253+00:00,9.168107,9.114917,-0.5802,-0.5048,time_exit,0.6604,range_bound,0.8,0.76,0.0399,-0.0008,47.866766467066064,44.847640394983806,yfinance,1.3e-05,,,30,30,Fear
